symbol,ActivePremium,Alpha,AnnualizedAlpha,Beta,Beta-,Beta+,Correlation,Correlationp-value,InformationRatio,R-squared,TrackingError,TreynorRatio
ARE.TO,-0.6226,-0.001,-0.221,0.2732,0.139,0.8999,0.1254,0.2416,-1.9245,0.0157,0.3235,-0.5016
AEM.TO,-0.6966,-0.0012,-0.2564,0.1115,0.3382,0.0643,0.0606,0.5724,-2.4046,0.0037,0.2897,-2.2351
AC.TO,-0.5515,-0.0012,-0.2657,0.6624,0.8203,1.1133,0.2849,0.0068,-1.7062,0.0812,0.3232,6e-4
AGI.TO,-0.3411,6e-4,0.15,0.045,0.0207,0.1116,0.019,0.8595,-0.943,4e-4,0.3617,2.9566
AQN.TO,-0.562,-7e-4,-0.1586,0.1545,0.1337,0.1317,0.1666,0.1187,-3.1811,0.0278,0.1767,-0.6011
ATD-B.TO,-0.1971,5e-4,0.1356,0.3115,0.6546,0.4513,0.2068,0.0518,-0.8428,0.0428,0.2338,0.6762
AP-UN.TO,-0.4613,-5e-4,-0.1094,0.2987,0.5905,0.4235,0.2686,0.0109,-2.5389,0.0721,0.1817,0.0291
ALA.TO,-0.5343,-7e-4,-0.1582,0.2379,0.1406,0.2258,0.2372,0.0252,-3.0253,0.0562,0.1766,-0.3735
AIF.TO,-0.1391,9e-4,0.2493,0.2327,0.3023,0.1941,0.1104,0.3031,-0.4379,0.0122,0.3177,1.237
ARX.TO,0.18,0.0012,0.3591,0.6415,0.6721,1.0732,0.2544,0.0161,0.5148,0.0647,0.3497,1.0915
ATZ.TO,0.9739,0.0024,0.8437,0.8901,0.4106,2.5311,0.3426,0.001,2.7565,0.1174,0.3533,1.378
AX-UN.TO,-0.2658,2e-4,0.0462,0.343,0.8027,0.2462,0.3604,5e-4,-1.696,0.1299,0.1567,0.6134
ACO-X.TO,-0.5976,-7e-4,-0.1679,0.0743,0.1584,0.0654,0.0819,0.4454,-3.2503,0.0067,0.1839,-1.8733
